timestamp_sec,model_name,ns3_node_id,robot_x,robot_y,robot_z,distance_to_base,rssi_dbm,snr_db,packets_sent,packets_received,packets_lost,packet_loss_rate
30.9085,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9085,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9094,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9094,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9094,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9094,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9104,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9104,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9104,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9104,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9114,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9115,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9115,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9115,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9124,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9124,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9124,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9125,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9134,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9134,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9134,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9134,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9144,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9144,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9144,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9144,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9155,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9155,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9155,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9155,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9164,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9164,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9164,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9164,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9174,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9174,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9174,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9174,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9184,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9184,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9184,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9184,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9194,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9194,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9194,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9194,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9204,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9204,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9204,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9204,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9215,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9215,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9215,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9215,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9224,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9225,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9225,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9225,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9235,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9235,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9235,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9235,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9244,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9245,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9245,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9245,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9254,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9254,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9254,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9255,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9264,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9264,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9264,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9264,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9274,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9275,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9275,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9275,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9284,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9284,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9284,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9284,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9294,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9294,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9294,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9294,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9304,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9304,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9304,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9304,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9314,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9314,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9314,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9314,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9324,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9324,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9324,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9324,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9334,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9334,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9334,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9334,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9344,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9344,robot_2,2,-5,0,0,5,-51.6262,42.3398,4,29,0,0
30.9344,robot_3,3,0,5,0,5,-51.6262,42.3398,4,29,0,0
30.9344,robot_4,4,0,-5,0,5,-51.6262,42.3398,4,29,0,0
30.9354,robot_1,1,5,0,0,5,-51.6262,42.3398,4,29,0,0
